09/04/2026 02:02:41 Epoch 64/200 summary:  loss_train=1.13299,  acc_train=93.35%,  loss_val=1.50,  acc_val=62.95% (best: 66.53% @ epoch 43)
09/04/2026 02:04:17 Epoch 65/200 summary:  loss_train=1.12915,  acc_train=93.57%,  loss_val=1.40,  acc_val=65.01% (best: 66.53% @ epoch 43)
09/04/2026 02:05:53 Epoch 66/200 summary:  loss_train=1.13002,  acc_train=93.48%,  loss_val=1.43,  acc_val=65.14% (best: 66.53% @ epoch 43)
09/04/2026 02:07:29 Epoch 67/200 summary:  loss_train=1.12467,  acc_train=93.78%,  loss_val=1.45,  acc_val=64.31% (best: 66.53% @ epoch 43)
09/04/2026 02:09:05 Epoch 68/200 summary:  loss_train=1.12599,  acc_train=93.55%,  loss_val=1.37,  acc_val=65.64% (best: 66.53% @ epoch 43)
09/04/2026 02:10:41 Epoch 69/200 summary:  loss_train=1.12012,  acc_train=93.79%,  loss_val=1.61,  acc_val=61.16% (best: 66.53% @ epoch 43)
09/04/2026 02:12:17 Epoch 70/200 summary:  loss_train=1.12317,  acc_train=93.68%,  loss_val=1.39,  acc_val=65.59% (best: 66.53% @ epoch 43)
09/04/2026 02:13:53 Epoch 71/200 summary:  loss_train=1.11633,  acc_train=93.80%,  loss_val=1.46,  acc_val=63.56% (best: 66.53% @ epoch 43)
09/04/2026 02:15:29 Epoch 72/200 summary:  loss_train=1.11899,  acc_train=93.92%,  loss_val=1.42,  acc_val=65.31% (best: 66.53% @ epoch 43)
09/04/2026 02:17:06 Epoch 73/200 summary:  loss_train=1.11108,  acc_train=93.96%,  loss_val=1.56,  acc_val=61.65% (best: 66.53% @ epoch 43)
09/04/2026 02:18:41 Epoch 74/200 summary:  loss_train=1.11003,  acc_train=94.15%,  loss_val=1.41,  acc_val=65.57% (best: 66.53% @ epoch 43)
09/04/2026 02:20:18 Epoch 75/200 summary:  loss_train=1.11560,  acc_train=93.99%,  loss_val=1.38,  acc_val=65.94% (best: 66.53% @ epoch 43)
09/04/2026 02:21:54 Epoch 76/200 summary:  loss_train=1.11051,  acc_train=94.20%,  loss_val=1.47,  acc_val=64.73% (best: 66.53% @ epoch 43)
09/04/2026 02:23:30 Epoch 77/200 summary:  loss_train=1.11048,  acc_train=94.24%,  loss_val=1.40,  acc_val=65.63% (best: 66.53% @ epoch 43)
09/04/2026 02:25:06 Epoch 78/200 summary:  loss_train=1.10976,  acc_train=94.11%,  loss_val=1.54,  acc_val=62.29% (best: 66.53% @ epoch 43)
09/04/2026 02:26:41 Epoch 79/200 summary:  loss_train=1.11619,  acc_train=94.01%,  loss_val=1.40,  acc_val=64.97% (best: 66.53% @ epoch 43)
09/04/2026 02:28:17 Epoch 80/200 summary:  loss_train=1.11550,  acc_train=93.72%,  loss_val=1.42,  acc_val=65.08% (best: 66.53% @ epoch 43)
09/04/2026 02:29:59 Epoch 81/200 summary:  loss_train=1.11635,  acc_train=93.85%,  loss_val=1.57,  acc_val=61.79% (best: 66.53% @ epoch 43)
09/04/2026 02:31:36 Epoch 82/200 summary:  loss_train=1.10554,  acc_train=94.35%,  loss_val=1.33,  acc_val=66.86% (best: 66.86% @ epoch 82)
09/04/2026 02:33:11 Epoch 83/200 summary:  loss_train=1.11124,  acc_train=94.08%,  loss_val=1.42,  acc_val=65.31% (best: 66.86% @ epoch 82)
09/04/2026 02:34:48 Epoch 84/200 summary:  loss_train=1.09984,  acc_train=94.44%,  loss_val=1.44,  acc_val=64.31% (best: 66.86% @ epoch 82)
09/04/2026 02:36:24 Epoch 85/200 summary:  loss_train=1.09635,  acc_train=94.64%,  loss_val=1.33,  acc_val=67.50% (best: 67.50% @ epoch 85)
09/04/2026 02:38:00 Epoch 86/200 summary:  loss_train=1.09909,  acc_train=94.46%,  loss_val=1.43,  acc_val=65.20% (best: 67.50% @ epoch 85)
09/04/2026 02:39:36 Epoch 87/200 summary:  loss_train=1.10348,  acc_train=94.18%,  loss_val=1.34,  acc_val=66.43% (best: 67.50% @ epoch 85)
09/04/2026 02:41:13 Epoch 88/200 summary:  loss_train=1.10574,  acc_train=94.14%,  loss_val=1.42,  acc_val=64.92% (best: 67.50% @ epoch 85)
09/04/2026 02:42:49 Epoch 89/200 summary:  loss_train=1.09712,  acc_train=94.64%,  loss_val=1.46,  acc_val=64.16% (best: 67.50% @ epoch 85)
09/04/2026 02:44:25 Epoch 90/200 summary:  loss_train=1.10281,  acc_train=94.24%,  loss_val=1.45,  acc_val=64.29% (best: 67.50% @ epoch 85)
09/04/2026 02:46:00 Epoch 91/200 summary:  loss_train=1.09604,  acc_train=94.59%,  loss_val=1.41,  acc_val=65.82% (best: 67.50% @ epoch 85)
